Lat,Long,Lat_FM,Long_FM,Lat_TACSAT,Long_TACSAT,Lat_JCR,Long_JCR,Lat_WiFi,Long_WiFi
31.1276226,-93.06165314,31.1276226,-93.06165314,31.12419891,-93.06920624,31.12002373,-93.06770325,31.12516022,-93.06796265
31.12547684,-93.06373596,31.12547684,-93.06373596,31.1242981,-93.06428528,31.12046814,-93.0672226,31.12503815,-93.06816101
31.12532425,-93.06400299,31.12532425,-93.06400299,31.12366676,-93.0675354,31.12182236,-93.06433868,31.12295151,-93.06822205
31.12534904,-93.06395721,31.12534904,-93.06395721,31.12397003,-93.06591034,31.12152672,-93.06573486,31.12271309,-93.06797028
31.12537575,-93.06391144,31.12537575,-93.06391144,31.12379265,-93.06573486,31.12103462,-93.06693268,31.12315369,-93.06838226
31.12539482,-93.06388092,31.12539482,-93.06388092,31.12396049,-93.06506348,31.12372017,-93.0619812,31.12306213,-93.06825256
31.12535095,-93.06395721,31.12535095,-93.06395721,31.12378502,-93.06639862,31.12346268,-93.06391144,31.12246895,-93.06777954
31.12531853,-93.06401062,31.12531853,-93.06401062,31.12387085,-93.06560516,31.12248611,-93.0656662,31.12387657,-93.0681839
31.1252594,-93.06411743,31.1252594,-93.06411743,31.12386131,-93.06607056,31.12118912,-93.06764984,31.1233902,-93.06843567
31.125494,-93.06370544,31.125494,-93.06370544,31.12392998,-93.06559753,31.12118912,-93.06765747,31.12350655,-93.0684433
31.12535286,-93.06394958,31.12535286,-93.06394958,31.12409401,-93.06420135,31.12143707,-93.06468964,31.12244225,-93.06775665
31.12532043,-93.06401062,31.12532043,-93.06401062,31.1235714,-93.06626892,31.1219101,-93.06546783,31.11574364,-93.06243896
31.1252861,-93.06407166,31.1252861,-93.06407166,31.12380791,-93.06609344,31.12225533,-93.06813812,31.11574173,-93.06243896
31.12525177,-93.06413269,31.12525177,-93.06413269,31.12398148,-93.06560516,31.12236023,-93.06804657,31.12240791,-93.06773376
31.12527466,-93.06408691,31.12527466,-93.06408691,31.12381172,-93.066185,31.12315941,-93.06609344,31.11579895,-93.06253815
31.12529945,-93.06404877,31.12529945,-93.06404877,31.12390709,-93.06575012,31.12213326,-93.06845856,31.11715508,-93.06500244
31.12529373,-93.0640564,31.12529373,-93.0640564,31.12379837,-93.06575012,31.12313271,-93.06680298,31.11574745,-93.06244659
31.12536812,-93.0639267,31.12536812,-93.0639267,31.12372971,-93.06648254,31.1221981,-93.0683136,31.12209511,-93.06893921
31.1253624,-93.06393433,31.1253624,-93.06393433,31.12384987,-93.06517792,31.12217522,-93.06834412,31.12285995,-93.0682373
31.1253891,-93.06388855,31.1253891,-93.06388855,31.12367058,-93.06645203,31.12243843,-93.06829834,31.12423515,-93.06865692
31.12529945,-93.06404114,31.12529945,-93.06404114,31.12193871,-93.06481934,31.12350082,-93.06850433,31.12262726,-93.06358337
31.12375259,-93.06781006,31.12375259,-93.06781006,31.12317467,-93.06789398,31.12276649,-93.06891632,31.12337685,-93.06424713
31.12382507,-93.06726837,31.12382507,-93.06726837,31.1230793,-93.06586456,31.12320709,-93.06882477,31.12450409,-93.0608902
31.12386894,-93.06761169,31.12386894,-93.06761169,31.12223625,-93.06590271,31.12316132,-93.06887817,31.12295341,-93.06346893
31.12374496,-93.06809998,31.12374496,-93.06809998,31.12235641,-93.06582642,31.12334824,-93.06864166,31.12403679,-93.06420898
31.12410164,-93.06748199,31.12410164,-93.06748199,31.12218475,-93.06603241,31.12316132,-93.06218719,31.12410736,-93.06324768
31.12681007,-93.05963135,31.12681007,-93.05963135,31.12261391,-93.06575775,31.12290192,-93.06642914,31.12452316,-93.06543732
31.12544441,-93.06378937,31.12544441,-93.06378937,31.1225872,-93.06555939,31.12298584,-93.06620789,31.11956978,-93.06817627
31.1240406,-93.06776428,31.1240406,-93.06776428,31.12261009,-93.06574249,31.12469864,-93.06891632,31.11812592,-93.06478882
31.12513351,-93.06311798,31.12513351,-93.06311798,31.12259102,-93.06564331,31.12490463,-93.06891632,31.1207428,-93.06742859
31.12529564,-93.06404877,31.12529564,-93.06404877,31.12260437,-93.06544495,31.12539482,-93.06891632,31.1226387,-93.06892395
31.12533188,-93.06398773,31.12533188,-93.06398773,31.12142372,-93.06626892,31.12220192,-93.06891632,31.1234951,-93.06829834
31.12537956,-93.06390381,31.12537956,-93.06390381,31.12230301,-93.06800842,31.12836647,-93.06581879,31.12083244,-93.06623077
31.12526894,-93.06410217,31.12526894,-93.06410217,31.12259674,-93.06839752,31.12837982,-93.06580353,31.12467957,-93.06066895
31.12400627,-93.06686401,31.12400627,-93.06686401,31.12374306,-93.06748962,31.1258316,-93.06864166,31.12382698,-93.06802368
31.12367249,-93.06811523,31.12367249,-93.06811523,31.12502098,-93.06047821,31.12270927,-93.06694031,31.12517166,-93.05992889
31.12377739,-93.06751251,31.12377739,-93.06751251,31.12367249,-93.06788635,31.12296295,-93.06626892,31.1193409,-93.06749725
31.12446213,-93.06551361,31.12446213,-93.06551361,31.12497711,-93.06070709,31.12228584,-93.06768799,31.12468719,-93.0686264
31.12427139,-93.06565094,31.12427139,-93.06565094,31.11999893,-93.063591,31.1251812,-93.06905365,31.12392426,-93.0686264
31.12435722,-93.06608582,31.12435722,-93.06608582,31.12282181,-93.06591034,31.12270927,-93.06687164,31.12170792,-93.06504059
31.12412262,-93.06570435,31.12412262,-93.06570435,31.12301064,-93.06604004,31.12118912,-93.06763458,31.12651825,-93.06463623
31.12552261,-93.06365967,31.12552261,-93.06365967,31.12124252,-93.06693268,31.12319565,-93.06380463,31.12759018,-93.06860352
31.12530518,-93.06403351,31.12530518,-93.06403351,31.12121201,-93.06733704,31.12338829,-93.06817627,31.1207695,-93.0662384
31.12552452,-93.05973816,31.12552452,-93.05973816,31.12125015,-93.0675354,31.12200165,-93.06604004,31.12044525,-93.06446838
31.12359047,-93.06781769,31.12359047,-93.06781769,31.12077332,-93.06660461,31.12156296,-93.06814575,31.12400246,-93.0686264
31.12415886,-93.06591034,31.12415886,-93.06591034,31.12071228,-93.06739807,31.12238693,-93.06790161,31.12651062,-93.06465149
31.12517357,-93.06078339,31.12517357,-93.06078339,31.12050629,-93.06650543,31.12129021,-93.06749725,31.12094879,-93.06754303
31.12425041,-93.06543732,31.12425041,-93.06543732,31.12051201,-93.06648254,31.12121964,-93.06754303,31.12221336,-93.06417084
31.12367249,-93.06802368,31.12367249,-93.06802368,31.12120819,-93.06739044,31.12126732,-93.06752014,31.12390518,-93.06868744
31.12575912,-93.05791473,31.12575912,-93.05791473,31.12116814,-93.06793976,31.12115097,-93.06815338,31.12469673,-93.06864166
31.12419891,-93.06920624,,,,,,,,
31.1242981,-93.06428528,,,,,,,,
31.12366676,-93.0675354,,,,,,,,
31.12397003,-93.06591034,,,,,,,,
31.12379265,-93.06573486,,,,,,,,
31.12396049,-93.06506348,,,,,,,,
31.12378502,-93.06639862,,,,,,,,
31.12387085,-93.06560516,,,,,,,,
31.12386131,-93.06607056,,,,,,,,
31.12392998,-93.06559753,,,,,,,,
31.12409401,-93.06420135,,,,,,,,
31.1235714,-93.06626892,,,,,,,,
31.12380791,-93.06609344,,,,,,,,
31.12398148,-93.06560516,,,,,,,,
31.12381172,-93.066185,,,,,,,,
31.12390709,-93.06575012,,,,,,,,
31.12379837,-93.06575012,,,,,,,,
31.12372971,-93.06648254,,,,,,,,
31.12384987,-93.06517792,,,,,,,,
31.12367058,-93.06645203,,,,,,,,
31.12193871,-93.06481934,,,,,,,,
31.12317467,-93.06789398,,,,,,,,
31.1230793,-93.06586456,,,,,,,,
31.12223625,-93.06590271,,,,,,,,
31.12235641,-93.06582642,,,,,,,,
31.12218475,-93.06603241,,,,,,,,
31.12261391,-93.06575775,,,,,,,,
31.1225872,-93.06555939,,,,,,,,
31.12261009,-93.06574249,,,,,,,,
31.12259102,-93.06564331,,,,,,,,
31.12260437,-93.06544495,,,,,,,,
31.12142372,-93.06626892,,,,,,,,
31.12230301,-93.06800842,,,,,,,,
31.12259674,-93.06839752,,,,,,,,
31.12374306,-93.06748962,,,,,,,,
31.12502098,-93.06047821,,,,,,,,
31.12367249,-93.06788635,,,,,,,,
31.12497711,-93.06070709,,,,,,,,
31.11999893,-93.063591,,,,,,,,
31.12282181,-93.06591034,,,,,,,,
31.12301064,-93.06604004,,,,,,,,
31.12124252,-93.06693268,,,,,,,,
31.12121201,-93.06733704,,,,,,,,
31.12125015,-93.0675354,,,,,,,,
31.12077332,-93.06660461,,,,,,,,
31.12071228,-93.06739807,,,,,,,,
31.12050629,-93.06650543,,,,,,,,
31.12051201,-93.06648254,,,,,,,,
31.12120819,-93.06739044,,,,,,,,
31.12116814,-93.06793976,,,,,,,,
31.12002373,-93.06770325,,,,,,,,
31.12046814,-93.0672226,,,,,,,,
31.12182236,-93.06433868,,,,,,,,
31.12152672,-93.06573486,,,,,,,,
31.12103462,-93.06693268,,,,,,,,
31.12372017,-93.0619812,,,,,,,,
31.12346268,-93.06391144,,,,,,,,
31.12248611,-93.0656662,,,,,,,,
31.12118912,-93.06764984,,,,,,,,
31.12118912,-93.06765747,,,,,,,,
31.12143707,-93.06468964,,,,,,,,
31.1219101,-93.06546783,,,,,,,,
31.12225533,-93.06813812,,,,,,,,
31.12236023,-93.06804657,,,,,,,,
31.12315941,-93.06609344,,,,,,,,
31.12213326,-93.06845856,,,,,,,,
31.12313271,-93.06680298,,,,,,,,
31.1221981,-93.0683136,,,,,,,,
31.12217522,-93.06834412,,,,,,,,
31.12243843,-93.06829834,,,,,,,,
31.12350082,-93.06850433,,,,,,,,
31.12276649,-93.06891632,,,,,,,,
31.12320709,-93.06882477,,,,,,,,
31.12316132,-93.06887817,,,,,,,,
31.12334824,-93.06864166,,,,,,,,
31.12316132,-93.06218719,,,,,,,,
31.12290192,-93.06642914,,,,,,,,
31.12298584,-93.06620789,,,,,,,,
31.12469864,-93.06891632,,,,,,,,
31.12490463,-93.06891632,,,,,,,,
31.12539482,-93.06891632,,,,,,,,
31.12220192,-93.06891632,,,,,,,,
31.12836647,-93.06581879,,,,,,,,
31.12837982,-93.06580353,,,,,,,,
31.1258316,-93.06864166,,,,,,,,
31.12270927,-93.06694031,,,,,,,,
31.12296295,-93.06626892,,,,,,,,
31.12228584,-93.06768799,,,,,,,,
31.1251812,-93.06905365,,,,,,,,
31.12270927,-93.06687164,,,,,,,,
31.12118912,-93.06763458,,,,,,,,
31.12319565,-93.06380463,,,,,,,,
31.12338829,-93.06817627,,,,,,,,
31.12200165,-93.06604004,,,,,,,,
31.12156296,-93.06814575,,,,,,,,
31.12238693,-93.06790161,,,,,,,,
31.12129021,-93.06749725,,,,,,,,
31.12121964,-93.06754303,,,,,,,,
31.12126732,-93.06752014,,,,,,,,
31.12115097,-93.06815338,,,,,,,,
31.12516022,-93.06796265,,,,,,,,
31.12503815,-93.06816101,,,,,,,,
31.12295151,-93.06822205,,,,,,,,
31.12271309,-93.06797028,,,,,,,,
31.12315369,-93.06838226,,,,,,,,
31.12306213,-93.06825256,,,,,,,,
31.12246895,-93.06777954,,,,,,,,
31.12387657,-93.0681839,,,,,,,,
31.1233902,-93.06843567,,,,,,,,
31.12350655,-93.0684433,,,,,,,,
31.12244225,-93.06775665,,,,,,,,
31.11574364,-93.06243896,,,,,,,,
31.11574173,-93.06243896,,,,,,,,
31.12240791,-93.06773376,,,,,,,,
31.11579895,-93.06253815,,,,,,,,
31.11715508,-93.06500244,,,,,,,,
31.11574745,-93.06244659,,,,,,,,
31.12209511,-93.06893921,,,,,,,,
31.12285995,-93.0682373,,,,,,,,
31.12423515,-93.06865692,,,,,,,,
31.12262726,-93.06358337,,,,,,,,
31.12337685,-93.06424713,,,,,,,,
31.12450409,-93.0608902,,,,,,,,
31.12295341,-93.06346893,,,,,,,,
31.12403679,-93.06420898,,,,,,,,
31.12410736,-93.06324768,,,,,,,,
31.12452316,-93.06543732,,,,,,,,
31.11956978,-93.06817627,,,,,,,,
31.11812592,-93.06478882,,,,,,,,
31.1207428,-93.06742859,,,,,,,,
31.1226387,-93.06892395,,,,,,,,
31.1234951,-93.06829834,,,,,,,,
31.12083244,-93.06623077,,,,,,,,
31.12467957,-93.06066895,,,,,,,,
31.12382698,-93.06802368,,,,,,,,
31.12517166,-93.05992889,,,,,,,,
31.1193409,-93.06749725,,,,,,,,
31.12468719,-93.0686264,,,,,,,,
31.12392426,-93.0686264,,,,,,,,
31.12170792,-93.06504059,,,,,,,,
31.12651825,-93.06463623,,,,,,,,
31.12759018,-93.06860352,,,,,,,,
31.1207695,-93.0662384,,,,,,,,
31.12044525,-93.06446838,,,,,,,,
31.12400246,-93.0686264,,,,,,,,
31.12651062,-93.06465149,,,,,,,,
31.12094879,-93.06754303,,,,,,,,
31.12221336,-93.06417084,,,,,,,,
31.12390518,-93.06868744,,,,,,,,
31.12469673,-93.06864166,,,,,,,,
